"","lat","lon","direction","filename","gps_frame_pos","frameIdx","road_lin","road_quad","road_both"
"1",31.7956,35.1686,1,"JET_58-425-73_D_CL_MX_3.9_1_26619_5.mat",2156,388517,0.01228246698156,-0.00257162051275372,-0.78299886547029
"2",31.7956,35.1686,1,"JET_58-425-73_D_CL_UR_3.9_22811_14.mat",1976,91199,-0.0127862393856049,-0.00245454907417297,-1.23754441738129
"3",31.7956,35.1686,1,"JET_58-425-73_D_OC_MX_3.9_23641_2.mat",1361,411505,0.00730985943227994,-0.00275800842791795,-0.957006182521583
"4",31.7956,35.1686,1,"JET_58-425-73_N_CL_MX_3.9_27624_10.mat",775,30635,0.0122485996223986,-0.00332257943227887,-1.08405978046358
"5",31.7956,35.1686,1,"JET_58-425-73_ddL_MX_3.9_23706_0.mat",1006,40057,-0.00384193463250993,-0.00285913283005357,-1.22049182467163
"6",31.7956,35.1686,1,"JET_58_425_73_D_CL_MX_3.9_26354_0.mat",548,21527,0.000968797132372889,-0.00573850236833096,-2.27602500468493
"7",31.7956,35.1686,1,"JET_58_425_73_D_OC_MX_3.9_26349_1.mat",444,16963,-0.0279558446258306,-0.0030763316899538,-1.78964956849813
"8",31.7956,35.1686,1,"JET_58_425_73_D_RN_MX_3.9_26171_1.mat",1010,51437,-0.00287725953385239,-0.00304103503003716,-1.27395920269191
"9",31.7956,35.1686,1,"JET_58_425_73_N_RN_MX_3.9_26356_3.mat",1944,74577,0,0,0
"10",31.7956,35.1686,1,"JET_83-108-70_D_CL_MX_3.9_1_25155_2.mat",967,37949,-0.00912142712622875,-0.00350916292518377,-1.58609371259808
"11",31.7956,35.1686,1,"JET_83-108-70_D_CL_MX_3.9_23378_0.mat",2189,92115,-0.0189650354906918,-0.00269715581089258,-1.45816303417087
"12",31.7956,35.1686,1,"JET_83-108-70_D_CL_MX_3.9_23537_0.mat",574,22555,-0.00701867081224918,-0.00404934398829937,-1.76011101156473
"13",31.7956,35.1686,1,"JET_83-108-70_D_CL_MX_3.9_23702_2.mat",698,26549,0.0282606959342957,-0.00430244207382202,-1.1557629108429
"14",31.7956,35.1686,1,"JET_83-108-70_D_CL_MX_3.9_23702_8.mat",3516,129681,0.0180528610013425,-0.00387353403493762,-1.1883563939482
"15",31.7956,35.1686,1,"JET_83-108-70_D_CL_MX_3.9_26434_3.mat",1003,40839,-0.0426963640376925,-0.00371841434389353,-2.34129301831126
"16",31.7956,35.1686,1,"JET_83-108-70_D_OC_MX_3.9_23501_0.mat",700,32131,-0.0267718362621962,-0.00286243716254831,-1.68041159026325
"17",31.7956,35.1686,1,"JET_83-108-70_D_OC_MX_3.9_23560_0.mat",2313,87941,0.00941388122737409,-0.00331289134919643,-1.13687891513109
"18",31.7956,35.1686,1,"JET_83-108-70_D_OC_MX_3.9_26340_0.mat",1400,53997,-0.0312769820913672,-0.00398581195622683,-2.21986442431807
"19",31.7956,35.1686,1,"JET_83-108-70_D_RN_MX_3.9_26258_4.mat",389,115289,0.0927968982607129,-0.00379291363060475,0.338772512972357
"20",31.7956,35.1686,1,"JET_83-108-70_N_CL_MX_3.9_26435_3.mat",746,29313,-0.0422089135274291,-0.00314163882285356,-2.10083379969001
