file_id,gps_frame_pos,lat_floor,lon_floor,direction,frame_idx,lat_real,lon_real,speed,num_lanes,dX,dY,dZ,yaw,pitch,roll
4,247,7.9496e+08,8.7997e+08,1,26263,31.798,35.199,20.71,3,0.081357,-0.13951,-2.2938,-0.0079703,-0.0022214,-0.00039661
6,3437,7.9398e+08,8.7983e+08,0,1.3143e+05,31.759,35.193,20.743,3,0.081054,-0.13555,-2.2985,-0.0037427,-0.0014858,-0.00013204
6,3319,7.9451e+08,8.7988e+08,0,1.2699e+05,31.78,35.195,20.399,3,0.0882,-0.13792,-2.2651,0.00093083,0.00095351,-0.00050929
6,3413,7.941e+08,8.7982e+08,0,1.3044e+05,31.764,35.193,20.485,2,0.07456,-0.12987,-2.2686,0.0089012,0.0022817,0.0039764
6,3412,7.941e+08,8.7982e+08,0,1.304e+05,31.764,35.193,20.535,2,0.078672,-0.13015,-2.2734,0.0079121,-0.0010885,0.0021412
6,3411,7.9411e+08,8.7982e+08,0,1.3037e+05,31.764,35.193,20.541,2,0.087267,-0.13154,-2.274,0.0022689,-0.0013876,-0.00053836
6,3416,7.9408e+08,8.7983e+08,0,1.3058e+05,31.763,35.193,19.618,3,0.076214,-0.12411,-2.1916,0.0037427,0.00035034,0.0012013
6,3419,7.9407e+08,8.7983e+08,0,1.3071e+05,31.763,35.193,19.168,3,0.071123,-0.12311,-2.1241,-0.00087266,0.0018829,0.00083946
6,3434,7.94e+08,8.7984e+08,0,1.313e+05,31.76,35.194,21.029,3,0.083145,-0.13202,-2.3273,-0.0037427,0.00015758,-0.00025563
6,3422,7.9406e+08,8.7984e+08,0,1.308e+05,31.762,35.193,19.088,2,0.070967,-0.12156,-2.1115,-0.0032579,-0.0026063,0.0016322
6,3431,7.9401e+08,8.7984e+08,0,1.312e+05,31.76,35.194,20.974,3,0.083048,-0.14341,-2.3263,-0.0042082,0.00061709,0.0030571
6,3430,7.9401e+08,8.7984e+08,0,1.3116e+05,31.761,35.194,21.291,3,0.087863,-0.13818,-2.3577,-0.0056238,-0.00051036,-0.00089142
6,3429,7.9402e+08,8.7984e+08,0,1.3112e+05,31.761,35.194,21.149,3,0.085244,-0.13357,-2.3407,-0.0065547,-4.5757e-05,0.00036764
6,3428,7.9402e+08,8.7984e+08,0,1.3109e+05,31.761,35.194,21.049,3,0.079161,-0.13505,-2.3299,-0.004693,-0.0014754,0.001992
6,3426,7.9404e+08,8.7984e+08,0,1.3098e+05,31.761,35.194,20.632,3,0.082781,-0.12683,-2.2854,-0.0051584,-0.00029843,0.00080878
6,3425,7.9404e+08,8.7984e+08,0,1.3094e+05,31.762,35.194,20.341,3,0.081002,-0.12242,-2.247,-0.0032191,0.00050492,9.8143e-05
6,3347,7.9439e+08,8.7984e+08,0,1.2801e+05,31.776,35.194,18.496,2,0.066887,-0.12037,-2.0477,0.0028701,0.00056191,0.0039516
6,3345,7.944e+08,8.7984e+08,0,1.2792e+05,31.776,35.194,18.699,2,0.067614,-0.1126,-2.0706,0.0028701,-0.002257,0.0049918
6,3344,7.944e+08,8.7984e+08,0,1.2788e+05,31.776,35.194,18.729,2,0.077593,-0.12269,-2.0755,0.0036846,-0.00073144,-0.0019563
6,3343,7.9441e+08,8.7984e+08,0,1.2785e+05,31.776,35.194,18.765,2,0.075689,-0.12352,-2.0797,0.0032773,0.00059335,-0.00047134
6,3342,7.9441e+08,8.7984e+08,0,1.2783e+05,31.776,35.194,18.896,2,0.074566,-0.13273,-2.0927,0.0037427,-7.7559e-05,-0.00068151
6,3341,7.9442e+08,8.7984e+08,0,1.2778e+05,31.777,35.194,20.124,2,0.08304,-0.13259,-2.2512,0.0042082,-0.0035908,-0.00071381
6,3340,7.9442e+08,8.7984e+08,0,1.2774e+05,31.777,35.194,20.179,2,0.080987,-0.13185,-2.2558,0.0027537,-8.1459e-05,0.00010355
6,3353,7.9437e+08,8.7985e+08,0,1.2821e+05,31.775,35.194,18.871,2,0.072845,-0.11759,-2.0869,0.0004654,-0.00025579,-0.001686
6,3352,7.9437e+08,8.7985e+08,0,1.2819e+05,31.775,35.194,18.707,2,0.076496,-0.117,-2.0862,0,0.0018392,-0.0020827
6,3334,7.9445e+08,8.7985e+08,0,1.2752e+05,31.778,35.194,20.552,2,0.079924,-0.13462,-2.2748,0.0032773,-0.00017025,0.00048155
6,3359,7.9434e+08,8.7985e+08,0,1.2842e+05,31.774,35.194,20.24,2,0.075917,-0.12986,-2.2415,0.00093083,-0.0029038,0.00064219
6,3358,7.9435e+08,8.7985e+08,0,1.2839e+05,31.774,35.194,20.129,2,0.075332,-0.12635,-2.225,0.00093083,-7.4102e-05,0.00019288
6,3330,7.9446e+08,8.7985e+08,0,1.2738e+05,31.779,35.194,20.632,3,0.081099,-0.13379,-2.2835,0.0023271,0.00024158,-0.00023183
6,3364,7.9432e+08,8.7986e+08,0,1.2861e+05,31.773,35.194,20.332,2,0.078936,-0.12816,-2.2715,0.00087266,-0.0010639,0.00041345
6,3363,7.9432e+08,8.7986e+08,0,1.2857e+05,31.773,35.194,20.327,2,0.080446,-0.12751,-2.2705,0.0004654,6.47e-05,-0.0013646
6,3328,7.9447e+08,8.7986e+08,0,1.2731e+05,31.779,35.194,20.424,3,0.082477,-0.1293,-2.2598,0.0033355,-0.00032974,-0.0011503
6,3370,7.9429e+08,8.7986e+08,0,1.2882e+05,31.772,35.194,20.035,2,0.067132,-0.11543,-2.2191,0.0004654,-0.0024198,-0.00019662
6,3369,7.943e+08,8.7986e+08,0,1.2878e+05,31.772,35.194,19.877,2,0.080793,-0.13025,-2.2014,0.0004654,-0.00068452,0.00092286
6,3385,7.9422e+08,8.7987e+08,0,1.2945e+05,31.769,35.195,19.252,2,0.075964,-0.12247,-2.1346,-0.0036846,-0.00026204,-0.00096775
6,3374,7.9427e+08,8.7987e+08,0,1.29e+05,31.771,35.195,20.441,3,0.072836,-0.12603,-2.2647,0.00093083,-0.00044835,4.7217e-05
6,3373,7.9428e+08,8.7987e+08,0,1.2896e+05,31.771,35.195,20.441,3,0.074726,-0.12784,-2.2629,0.0004654,-0.00036762,0.0011763
6,3381,7.9424e+08,8.7987e+08,0,1.2929e+05,31.769,35.195,19.938,2,0.074402,-0.12472,-2.2082,-0.0028119,0.00068802,-0.00053512
6,3380,7.9424e+08,8.7987e+08,0,1.2927e+05,31.77,35.195,20.018,2,0.077497,-0.12429,-2.2192,-0.0023271,0.00074741,-0.00013296
6,3378,7.9425e+08,8.7987e+08,0,1.2918e+05,31.77,35.195,20.052,2,0.075985,-0.1213,-2.2221,-0.0042082,-0.00051174,-2.1961e-05
6,3213,7.949e+08,8.7993e+08,0,1.2309e+05,31.796,35.197,15.493,3,0.067376,-0.092161,-1.7173,0.0066128,0.00082246,0.00069503
6,3211,7.9491e+08,8.7993e+08,0,1.2302e+05,31.796,35.197,15.965,3,0.071937,-0.095525,-1.7674,0.0051972,0.0027979,0.00084313
6,3210,7.9491e+08,8.7993e+08,0,1.2299e+05,31.796,35.197,16.104,3,0.067341,-0.094121,-1.786,0.0070201,-6.5538e-05,0.0026278
6,3208,7.9492e+08,8.7993e+08,0,1.2292e+05,31.797,35.197,16.176,3,0.071966,-0.095083,-1.7903,0.0060893,0.00017774,-0.0015025
6,3207,7.9492e+08,8.7993e+08,0,1.2288e+05,31.797,35.197,16.376,3,0.073845,-0.092159,-1.8171,0.0047318,0.0020795,6.4226e-06
6,3217,7.9489e+08,8.7994e+08,0,1.2324e+05,31.795,35.197,15.098,3,0.065462,-0.086873,-1.6715,0.0051002,0.0013295,4.7848e-05
6,3202,7.9494e+08,8.7994e+08,0,1.2266e+05,31.798,35.198,17.668,3,0.071354,-0.10772,-1.9611,0.0051002,-0.002135,-0.0011543
6,3229,7.9485e+08,8.7995e+08,0,1.2368e+05,31.794,35.198,15.448,3,0.052688,-0.091113,-1.7112,-0.00038785,-0.00045401,0.00017122
6,3232,7.9484e+08,8.7996e+08,0,1.2378e+05,31.794,35.198,16.537,3,0.053233,-0.090289,-1.8307,-0.0065547,-0.0017475,0.002561
6,3248,7.9478e+08,8.7996e+08,0,1.2436e+05,31.791,35.199,16.724,3,0.073173,-0.09237,-1.8512,0.0046736,-0.00032187,0.00029135
6,3247,7.9479e+08,8.7996e+08,0,1.2432e+05,31.791,35.199,16.437,3,0.074388,-0.09844,-1.8234,0.0042082,-0.00081637,-0.0018842
6,3245,7.9479e+08,8.7996e+08,0,1.2425e+05,31.792,35.199,16.343,3,0.069261,-0.096728,-1.8091,0.0004654,0.0003887,-0.0011537
6,3244,7.948e+08,8.7996e+08,0,1.2422e+05,31.792,35.199,16.343,3,0.070064,-0.098387,-1.8082,0.00044602,-0.00054688,-0.00045814
6,3243,7.948e+08,8.7996e+08,0,1.2418e+05,31.792,35.199,16.665,3,0.070552,-0.10544,-1.8482,0.00093083,0.000306,-0.0013363
